state,district,pincode,audit_status,total_txns,risk_reason,severity_score
Karnataka,Bengaluru Rural,560067,HIGH RISK - Action Required,961.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.028752333296977794
Bihar,Purbi Champaran,845315,HIGH RISK - Action Required,242.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.02854619173247941
Bihar,Purbi Champaran,845427,HIGH RISK - Action Required,236.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.02854619173247941
Karnataka,Bengaluru Urban,562106,HIGH RISK - Action Required,158.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.027730363689763338
West Bengal,24 Paraganas North,700102,HIGH RISK - Action Required,157.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.027730363689763338
West Bengal,24 Paraganas North,700121,HIGH RISK - Action Required,158.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.027730363689763338
Karnataka,Bengaluru Urban,560076,HIGH RISK - Action Required,811.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.027115188198770235
Karnataka,Bengaluru Urban,560041,HIGH RISK - Action Required,132.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.026816166146516718
West Bengal,24 Paraganas North,700049,HIGH RISK - Action Required,134.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.026816166146516718
Delhi,Central Delhi,110054,HIGH RISK - Action Required,146.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.02671047132958526
West Bengal,24 Paraganas North,743249,HIGH RISK - Action Required,155.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.02671047132958526
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,396230,HIGH RISK - Action Required,716.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.026605485585930455
Uttar Pradesh,Shravasti,271803,HIGH RISK - Action Required,651.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.026605485585930455
West Bengal,24 Paraganas North,743423,HIGH RISK - Action Required,759.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.026605485585930455
Jharkhand,East Singhbum,831011,HIGH RISK - Action Required,111.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.026328937575968436
